CustomerID,Recency,Frequency,Monetary,Cluster,Persona,Recommended_Action
12346,326,12.0,77556.45999999999,1,Recent active customers,Upsell and crosse sell opportunities
12347,2,8.000000000000002,4921.529999999995,1,Recent active customers,Upsell and crosse sell opportunities
12348,75,5.0,2019.4,2,At-risk customers,Win back campaigns
12349,19,3.9999999999999996,4428.689999999996,1,Recent active customers,Upsell and crosse sell opportunities
12350,310,1.0,334.40000000000003,0,High value loyal customers,Retention and Premium Offers
12351,375,1.0,300.93000000000006,0,High value loyal customers,Retention and Premium Offers
12352,36,10.000000000000002,2849.840000000001,1,Recent active customers,Upsell and crosse sell opportunities
12353,204,1.9999999999999996,406.7599999999999,2,At-risk customers,Win back campaigns
12354,232,1.0,1079.4,2,At-risk customers,Win back campaigns
12355,214,1.9999999999999996,947.6099999999997,2,At-risk customers,Win back campaigns
12356,23,6.0,6371.729999999995,1,Recent active customers,Upsell and crosse sell opportunities
12357,33,3.0,18287.660000000003,1,Recent active customers,Upsell and crosse sell opportunities
12358,2,5.0,3887.07,1,Recent active customers,Upsell and crosse sell opportunities
12359,58,10.000000000000002,8873.39,1,Recent active customers,Upsell and crosse sell opportunities
12360,52,8.000000000000002,4252.890000000002,1,Recent active customers,Upsell and crosse sell opportunities
12361,287,3.9999999999999996,511.2500000000001,2,At-risk customers,Win back campaigns
12362,3,11.0,5356.23,1,Recent active customers,Upsell and crosse sell opportunities
12363,110,1.9999999999999996,552.0000000000001,2,At-risk customers,Win back campaigns
12364,8,3.9999999999999996,1313.1000000000004,2,At-risk customers,Win back campaigns
12365,291,1.9999999999999996,641.3800000000001,2,At-risk customers,Win back campaigns
12366,634,1.0,500.2400000000002,0,High value loyal customers,Retention and Premium Offers
12367,4,1.0,168.90000000000003,2,At-risk customers,Win back campaigns
12368,628,1.0,917.7000000000003,0,High value loyal customers,Retention and Premium Offers
12369,413,3.0,1791.1500000000003,0,High value loyal customers,Retention and Premium Offers
12370,51,6.999999999999998,4316.560000000003,1,Recent active customers,Upsell and crosse sell opportunities
12371,45,5.0,4067.3800000000033,1,Recent active customers,Upsell and crosse sell opportunities
12372,72,3.0,1298.0399999999995,2,At-risk customers,Win back campaigns
12373,311,3.0,1127.6500000000003,2,At-risk customers,Win back campaigns
12374,25,3.9999999999999996,2989.2199999999984,2,At-risk customers,Win back campaigns
12375,11,1.9999999999999996,457.4999999999999,2,At-risk customers,Win back campaigns
12376,390,1.9999999999999996,503.14999999999986,0,High value loyal customers,Retention and Premium Offers
12377,315,3.9999999999999996,3426.319999999997,2,At-risk customers,Win back campaigns
12378,130,1.9999999999999996,5416.32,2,At-risk customers,Win back campaigns
12379,82,3.9999999999999996,1620.2199999999993,2,At-risk customers,Win back campaigns
12380,22,11.0,9676.299999999994,1,Recent active customers,Upsell and crosse sell opportunities
12381,5,5.0,1845.3099999999997,2,At-risk customers,Win back campaigns
12383,185,5.0,1850.5599999999993,2,At-risk customers,Win back campaigns
12384,29,1.9999999999999996,585.2699999999998,2,At-risk customers,Win back campaigns
12385,379,1.0,1938.4000000000008,0,High value loyal customers,Retention and Premium Offers
12386,338,1.9999999999999996,401.9000000000001,0,High value loyal customers,Retention and Premium Offers
12387,415,1.0,143.94000000000005,0,High value loyal customers,Retention and Premium Offers
12388,16,8.000000000000002,3901.1099999999983,1,Recent active customers,Upsell and crosse sell opportunities
12389,403,3.0,1433.3299999999992,0,High value loyal customers,Retention and Premium Offers
12390,80,1.0,549.8399999999999,2,At-risk customers,Win back campaigns
12391,22,6.0,2724.840000000001,1,Recent active customers,Upsell and crosse sell opportunities
12392,591,1.0,234.75,0,High value loyal customers,Retention and Premium Offers
12393,72,6.0,2399.45,1,Recent active customers,Upsell and crosse sell opportunities
12394,64,1.9999999999999996,1272.4800000000002,2,At-risk customers,Win back campaigns
12395,19,14.999999999999998,4721.170000000003,1,Recent active customers,Upsell and crosse sell opportunities
12396,674,1.0,931.4300000000003,0,High value loyal customers,Retention and Premium Offers
12397,36,1.9999999999999996,2409.900000000001,2,At-risk customers,Win back campaigns
12398,46,1.0,1635.6599999999992,2,At-risk customers,Win back campaigns
12399,119,6.999999999999998,1962.3000000000006,1,Recent active customers,Upsell and crosse sell opportunities
12400,414,1.0,205.24999999999991,0,High value loyal customers,Retention and Premium Offers
12401,303,1.0,84.3,0,High value loyal customers,Retention and Premium Offers
12402,323,6.0,1256.9,2,At-risk customers,Win back campaigns
12403,50,1.9999999999999996,1019.3599999999997,2,At-risk customers,Win back campaigns
12404,682,1.0,63.23999999999999,0,High value loyal customers,Retention and Premium Offers
12405,149,1.0,1710.3899999999999,2,At-risk customers,Win back campaigns
12406,22,5.0,6390.359999999996,1,Recent active customers,Upsell and crosse sell opportunities
12407,50,5.0,1708.1200000000001,2,At-risk customers,Win back campaigns
12408,33,8.000000000000002,4340.770000000001,1,Recent active customers,Upsell and crosse sell opportunities
12409,79,6.999999999999998,23419.289999999994,1,Recent active customers,Upsell and crosse sell opportunities
12410,309,3.0,1013.7099999999998,2,At-risk customers,Win back campaigns
12411,410,1.0,346.90000000000003,0,High value loyal customers,Retention and Premium Offers
12412,75,6.0,2596.9300000000003,1,Recent active customers,Upsell and crosse sell opportunities
12413,67,3.9999999999999996,999.4500000000004,2,At-risk customers,Win back campaigns
12414,217,6.0,952.41,2,At-risk customers,Win back campaigns
12415,24,28.000000000000004,144458.37000000002,1,Recent active customers,Upsell and crosse sell opportunities
12416,657,1.0,202.55999999999995,0,High value loyal customers,Retention and Premium Offers
12417,3,20.0,6797.410000000005,1,Recent active customers,Upsell and crosse sell opportunities
12418,113,3.9999999999999996,2021.1999999999996,2,At-risk customers,Win back campaigns
12419,386,1.9999999999999996,503.0100000000001,0,High value loyal customers,Retention and Premium Offers
12420,64,1.0,600.3899999999998,2,At-risk customers,Win back campaigns
12421,16,6.0,1098.5999999999997,2,At-risk customers,Win back campaigns
12422,96,16.999999999999996,5231.7999999999965,1,Recent active customers,Upsell and crosse sell opportunities
12423,1,10.000000000000002,2622.3899999999994,1,Recent active customers,Upsell and crosse sell opportunities
12424,163,3.9999999999999996,3340.0299999999997,2,At-risk customers,Win back campaigns
12425,78,1.9999999999999996,1741.4099999999999,2,At-risk customers,Win back campaigns
12426,195,1.9999999999999996,1345.2100000000005,2,At-risk customers,Win back campaigns
12427,22,3.0,825.7999999999996,2,At-risk customers,Win back campaigns
12428,26,9.000000000000002,7956.459999999994,1,Recent active customers,Upsell and crosse sell opportunities
12429,9,8.000000000000002,6204.4100000000035,1,Recent active customers,Upsell and crosse sell opportunities
12430,43,1.0,256.40000000000003,2,At-risk customers,Win back campaigns
12431,36,26.999999999999996,10432.220000000007,1,Recent active customers,Upsell and crosse sell opportunities
12432,43,5.0,5059.319999999999,1,Recent active customers,Upsell and crosse sell opportunities
12433,1,10.000000000000002,16794.139999999992,1,Recent active customers,Upsell and crosse sell opportunities
12434,85,3.0,1103.4299999999996,2,At-risk customers,Win back campaigns
12435,80,6.0,13925.93,1,Recent active customers,Upsell and crosse sell opportunities
12436,100,1.0,509.0100000000001,2,At-risk customers,Win back campaigns
12437,2,39.0,12683.400000000003,1,Recent active customers,Upsell and crosse sell opportunities
12438,14,1.9999999999999996,2906.849999999999,2,At-risk customers,Win back campaigns
12439,683,1.9999999999999996,1142.8800000000006,0,High value loyal customers,Retention and Premium Offers
12440,462,1.9999999999999996,859.2,0,High value loyal customers,Retention and Premium Offers
12441,367,1.0,173.55000000000004,0,High value loyal customers,Retention and Premium Offers
12442,3,1.0,172.06000000000006,2,At-risk customers,Win back campaigns
12443,732,1.0,485.30999999999983,0,High value loyal customers,Retention and Premium Offers
12444,21,5.0,5005.459999999997,1,Recent active customers,Upsell and crosse sell opportunities
12445,22,1.9999999999999996,434.98,2,At-risk customers,Win back campaigns
12446,58,1.0,1002.3099999999998,2,At-risk customers,Win back campaigns
12447,243,1.0,476.4900000000001,2,At-risk customers,Win back campaigns
12448,44,1.0,449.45000000000005,2,At-risk customers,Win back campaigns
12449,22,6.0,4835.890000000004,1,Recent active customers,Upsell and crosse sell opportunities
12450,156,5.0,688.2,2,At-risk customers,Win back campaigns
12451,11,8.000000000000002,12669.87999999999,1,Recent active customers,Upsell and crosse sell opportunities
12452,17,1.9999999999999996,430.5700000000001,2,At-risk customers,Win back campaigns
12453,134,1.0,707.0899999999998,2,At-risk customers,Win back campaigns
12454,56,5.0,16679.77999999999,1,Recent active customers,Upsell and crosse sell opportunities
12455,73,10.000000000000002,5879.949999999997,1,Recent active customers,Upsell and crosse sell opportunities
12456,44,3.0,3181.0399999999977,2,At-risk customers,Win back campaigns
12457,66,8.000000000000002,2995.91,1,Recent active customers,Upsell and crosse sell opportunities
12458,71,3.9999999999999996,1777.4900000000005,2,At-risk customers,Win back campaigns
12459,605,1.0,454.35999999999996,0,High value loyal customers,Retention and Premium Offers
12460,456,1.0,326.65,0,High value loyal customers,Retention and Premium Offers
12461,94,1.9999999999999996,826.8800000000003,2,At-risk customers,Win back campaigns
12462,19,1.9999999999999996,1189.5899999999997,2,At-risk customers,Win back campaigns
12463,53,3.9999999999999996,1344.7799999999997,2,At-risk customers,Win back campaigns
12464,10,8.000000000000002,1212.0499999999997,1,Recent active customers,Upsell and crosse sell opportunities
12465,17,1.9999999999999996,742.19,2,At-risk customers,Win back campaigns
12466,682,1.0,56.730000000000004,0,High value loyal customers,Retention and Premium Offers
12467,423,1.0,132.80000000000004,0,High value loyal customers,Retention and Premium Offers
12468,188,5.0,3670.739999999999,1,Recent active customers,Upsell and crosse sell opportunities
12469,523,1.9999999999999996,3070.5399999999995,0,High value loyal customers,Retention and Premium Offers
12470,690,1.0,211.95,0,High value loyal customers,Retention and Premium Offers
12471,2,78.99999999999997,39918.19000000004,1,Recent active customers,Upsell and crosse sell opportunities
12472,32,18.999999999999996,16249.290000000006,1,Recent active customers,Upsell and crosse sell opportunities
12473,29,5.0,3928.0500000000025,1,Recent active customers,Upsell and crosse sell opportunities
12474,17,31.0,12372.749999999996,1,Recent active customers,Upsell and crosse sell opportunities
12475,54,1.9999999999999996,1149.6400000000003,2,At-risk customers,Win back campaigns
12476,16,23.000000000000004,14083.909999999993,1,Recent active customers,Upsell and crosse sell opportunities
12477,23,9.000000000000002,20276.369999999988,1,Recent active customers,Upsell and crosse sell opportunities
12478,4,1.0,680.9899999999998,2,At-risk customers,Win back campaigns
12479,11,1.0,527.2000000000002,2,At-risk customers,Win back campaigns
12480,28,6.999999999999998,5464.849999999998,1,Recent active customers,Upsell and crosse sell opportunities
12481,23,14.999999999999998,12185.510000000006,1,Recent active customers,Upsell and crosse sell opportunities
12482,576,29.000000000000004,23691.40000000001,1,Recent active customers,Upsell and crosse sell opportunities
12483,17,18.999999999999996,5097.179999999997,1,Recent active customers,Upsell and crosse sell opportunities
12484,33,12.0,6354.1,1,Recent active customers,Upsell and crosse sell opportunities
12485,529,1.0,708.0999999999999,0,High value loyal customers,Retention and Premium Offers
12486,432,1.0,1037.2800000000002,0,High value loyal customers,Retention and Premium Offers
12487,731,1.0,285.29999999999984,0,High value loyal customers,Retention and Premium Offers
12488,10,3.0,1298.6600000000005,2,At-risk customers,Win back campaigns
12489,336,1.0,334.92999999999995,0,High value loyal customers,Retention and Premium Offers
12490,5,21.000000000000004,9823.640000000001,1,Recent active customers,Upsell and crosse sell opportunities
12491,39,1.0,460.39999999999986,2,At-risk customers,Win back campaigns
12492,63,3.0,715.2100000000003,2,At-risk customers,Win back campaigns
12493,166,1.9999999999999996,433.74000000000007,2,At-risk customers,Win back campaigns
12494,16,9.000000000000002,1815.2700000000004,1,Recent active customers,Upsell and crosse sell opportunities
12495,641,1.0,357.4,0,High value loyal customers,Retention and Premium Offers
12496,620,1.9999999999999996,45.34000000000001,0,High value loyal customers,Retention and Premium Offers
12497,82,3.0,6248.4999999999945,1,Recent active customers,Upsell and crosse sell opportunities
12498,21,3.0,403.7,2,At-risk customers,Win back campaigns
12499,560,1.0,393.71999999999997,0,High value loyal customers,Retention and Premium Offers
12500,23,18.999999999999996,5955.209999999997,1,Recent active customers,Upsell and crosse sell opportunities
12501,337,1.0,2169.390000000001,0,High value loyal customers,Retention and Premium Offers
12502,96,5.0,3723.870000000003,1,Recent active customers,Upsell and crosse sell opportunities
12503,584,1.0,1126.0000000000002,0,High value loyal customers,Retention and Premium Offers
12504,18,3.9999999999999996,779.0500000000002,2,At-risk customers,Win back campaigns
12505,409,1.0,955.2,0,High value loyal customers,Retention and Premium Offers
12506,233,1.0,73.5,0,High value loyal customers,Retention and Premium Offers
12507,134,3.9999999999999996,1844.0600000000002,2,At-risk customers,Win back campaigns
12508,26,1.9999999999999996,397.8799999999999,2,At-risk customers,Win back campaigns
12509,284,1.0,176.5,0,High value loyal customers,Retention and Premium Offers
12510,143,9.000000000000002,5178.020000000001,1,Recent active customers,Upsell and crosse sell opportunities
12511,429,1.0,3084.019999999998,0,High value loyal customers,Retention and Premium Offers
12512,66,1.9999999999999996,132.17999999999998,2,At-risk customers,Win back campaigns
12513,113,1.0,612.2899999999997,2,At-risk customers,Win back campaigns
12514,267,1.9999999999999996,1597.7599999999993,2,At-risk customers,Win back campaigns
12515,353,1.0,383.70000000000005,0,High value loyal customers,Retention and Premium Offers
12516,78,3.9999999999999996,2648.62,2,At-risk customers,Win back campaigns
12517,28,5.0,2481.5999999999995,1,Recent active customers,Upsell and crosse sell opportunities
12518,1,5.0,2056.8899999999994,2,At-risk customers,Win back campaigns
12519,64,1.9999999999999996,716.54,2,At-risk customers,Win back campaigns
